DSASG,44/2020,,,,,政府總部事務局的組織及運作
DSASG,44/2020,,,,,行政長官根據《澳門特別行政區基本法》第五十條（五）項的規定，經徵詢行政會的意見，制定本獨立行政法規。
DSASG,44/2020,第一章,性質及職責,第一條,性質及隸屬,政府總部事務局是負責為包括行政長官辦公室、各司司長辦公室及行政長官指定實體在內的澳門特別行政區政府總部各部門（下稱“政府總部各部門”），在行政、財政、技術、禮賓及後勤等屬政府總部正常運作必不可少的事宜上提供輔助及支援的公共部門，直接隸屬於行政長官領導下運作，行政長官可將執行權限授予行政長官辦公室主任。
DSASG,44/2020,第一章,性質及職責,第二條,職責,政府總部事務局的職責如下：
DSASG,44/2020,第一章,性質及職責,第二條,職責,（一）在政府總部各部門範圍內的人員組織、財政管理、基礎設施、資訊通訊、禮賓公關、後勤資源等屬政府總部正常運作必不可少的事宜上提供技術、行政及財政輔助，並就屬規範、行政及技術性質的措施和程序標準化進行研究並提出建議，以及確保翻譯及法律等技術支援；
DSASG,44/2020,第一章,性質及職責,第二條,職責,（二）統籌及管理政府總部各部門的財產資源，維護有關的設施及設備，並促進其有效利用；
DSASG,44/2020,第一章,性質及職責,第二條,職責,（三）確保澳門特別行政區政府的禮賓及公共關係，尤其研究制定及適時更新在澳門特別行政區舉行的官方儀式或重大活動的禮賓排序及接待規格的標準指引，以及澳門特別行政區嘉賓資料庫；
DSASG,44/2020,第一章,性質及職責,第二條,職責,（四）統籌或參與籌劃行政長官指定的活動，尤其是授勳及嘉獎活動、行政長官及各司司長在澳門特別行政區的官式活動，以及在內地及其他地區的訪問活動，並負責參與相關活動的人士的禮賓公關接待安排等事宜；
DSASG,44/2020,第一章,性質及職責,第二條,職責,（五）統籌及跟進國內外部長級或以上級別的代表團、國際組織及行政長官指定的重要人士訪問澳門特別行政區的活動籌辦安排及禮賓公關接待等事宜；
DSASG,44/2020,第一章,性質及職責,第二條,職責,（六）負責跟進非外交政策的領事事務，並負責澳門特別行政區的公共部門或實體與領館轄區在澳門特別行政區的外國領事機構及其他駐澳門特別行政區的官方機構之間的聯繫工作；
DSASG,44/2020,第一章,性質及職責,第二條,職責,（七）統籌及跟進政府總部的禮賓及公共關係事宜、會見及會議接待等相關事宜；
DSASG,44/2020,第一章,性質及職責,第二條,職責,（八）研究、建議和統籌政府總部各部門資訊領域的整體發展，尤其促進政府總部各部門範圍內的信息、數據共享及系統功能的協調，統籌和管理政府總部各部門的資訊系統及設備，以配合澳門特別行政區政府的施政需要；
DSASG,44/2020,第一章,性質及職責,第二條,職責,（九）確保政府總部的公眾接待及諮詢服務，以及後勤支援服務的有效運作，並協助治安當局維護政府總部等設施的保安工作；
DSASG,44/2020,第一章,性質及職責,第二條,職責,（十）履行依法獲賦予的其他職責及行政長官指定的屬其職責範疇內的任何工作。
DSASG,44/2020,第二章,機關及附屬單位,第三條,組織架構,一、政府總部事務局由一名局長領導，局長由兩名副局長輔助；局長和副局長獲賦予第15/2009號法律《領導及主管人員通則的基本規定》附件表一欄目2所載的薪俸點。
DSASG,44/2020,第二章,機關及附屬單位,第三條,組織架構,二、政府總部事務局為履行其職責，設有下列附屬單位：
